NAMEUNIT,num_pizzerias,municipio_norm,POB25,PROVINCIA,CPRO,CMUN,pizzerias_100k_hab
A Arnoia,1,a arnoia,,,,,
A Coruña,412,a coruna,,,,,
A Fonsagrada,10,a fonsagrada,,,,,
A Gudiña,8,a gudina,,,,,
A Merca,1,a merca,,,,,
A Mezquita,3,a mezquita,,,,,
A Peroxa,4,a peroxa,,,,,
A Pobra de Trives,3,a pobra de trives,,,,,
A Pobra do Brollón,2,a pobra do brollon,,,,,
A Pontenova,1,a pontenova,,,,,
A Rúa,4,a rua,,,,,
A Teixeira,3,a teixeira,,,,,
A Veiga,2,a veiga,,,,,
Abadiño,5,abadino,7768.0,Bizkaia,48.0,1.0,64.36663233779609
Abadín,2,abadin,2239.0,Lugo,27.0,1.0,89.32559178204555
Abaltzisketa,4,abaltzisketa,321.0,Gipuzkoa,20.0,1.0,1246.105919003115
Abanto y Ciérvana-Abanto Zierbena,3,abanto y ciervana-abanto zierbena,9379.0,Bizkaia,48.0,2.0,31.986352489604435
Abizanda,3,abizanda,162.0,Huesca,22.0,2.0,1851.851851851852
Ablanque,1,ablanque,70.0,Guadalajara,19.0,2.0,1428.571428571429
Abárzuza/Abartzuza,2,abarzuza/abartzuza,510.0,Navarra,31.0,2.0,392.156862745098
Acebedo,1,acebedo,181.0,León,24.0,1.0,552.4861878453039
Aduna,7,aduna,500.0,Gipuzkoa,20.0,2.0,1400.0
Agoncillo,2,agoncillo,1464.0,"Rioja, La",26.0,2.0,136.6120218579235
Agudo,1,agudo,1605.0,Ciudad Real,13.0,2.0,62.30529595015577
Aguilar de Campoo,22,aguilar de campoo,6916.0,Palencia,34.0,4.0,318.10294968189703
Agurain/Salvatierra,3,agurain/salvatierra,5189.0,Araba/Álava,1.0,51.0,57.8146078242436
Aia,9,aia,2148.0,Gipuzkoa,20.0,16.0,418.9944134078213
Aibar/Oibar,1,aibar/oibar,754.0,Navarra,31.0,9.0,132.6259946949602
Aisa,5,aisa,326.0,Huesca,22.0,6.0,1533.7423312883436
Ajangiz,1,ajangiz,458.0,Bizkaia,48.0,911.0,218.3406113537118
Alacant/Alicante,427,alacant/alicante,366221.0,Alicante/Alacant,3.0,14.0,116.5962629122852
Alaior,21,alaior,10217.0,"Balears, Illes",7.0,2.0,205.53978663012623
Alamillo,1,alamillo,450.0,Ciudad Real,13.0,3.0,222.22222222222223
Alar del Rey,2,alar del rey,910.0,Palencia,34.0,5.0,219.78021978021977
Alaró,14,alaro,6121.0,"Balears, Illes",7.0,1.0,228.7207972553504
Albacete,149,albacete,175400.0,Albacete,2.0,3.0,84.94868871151654
Albalate de Cinca,1,albalate de cinca,1080.0,Huesca,22.0,7.0,92.59259259259258
Albalate de Zorita,2,albalate de zorita,1148.0,Guadalajara,19.0,6.0,174.21602787456445
Albalate del Arzobispo,3,albalate del arzobispo,1936.0,Teruel,44.0,8.0,154.95867768595042
Albarracín,19,albarracin,998.0,Teruel,44.0,9.0,1903.807615230461
Albelda de Iregua,5,albelda de iregua,3930.0,"Rioja, La",26.0,5.0,127.22646310432567
Albentosa,2,albentosa,290.0,Teruel,44.0,10.0,689.6551724137931
Albiztur,4,albiztur,328.0,Gipuzkoa,20.0,4.0,1219.5121951219512
Alcalà de Xivert,52,alcala de xivert,7349.0,Castellón/Castelló,12.0,4.0,707.5792624846918
Alcalá de la Selva,3,alcala de la selva,382.0,Teruel,44.0,12.0,785.3403141361257
Alcalá la Real,7,alcala la real,21496.0,Jaén,23.0,2.0,32.56419799032378
Alcanadre,2,alcanadre,685.0,"Rioja, La",26.0,7.0,291.97080291970804
Alcaudete,2,alcaudete,10129.0,Jaén,23.0,3.0,19.745285813012146
Alcañices,1,alcanices,1062.0,Zamora,49.0,3.0,94.16195856873824
Alcañiz,12,alcaniz,16505.0,Teruel,44.0,13.0,72.70524083611026
Alcocer,1,alcocer,319.0,Guadalajara,19.0,9.0,313.4796238244514
Alcolea del Pinar,2,alcolea del pinar,357.0,Guadalajara,19.0,11.0,560.2240896358544
Alcoroches,2,alcoroches,117.0,Guadalajara,19.0,13.0,1709.4017094017092
Alcubilla de Avellaneda,1,alcubilla de avellaneda,111.0,Soria,42.0,7.0,900.9009009009008
Alcázar de San Juan,19,alcazar de san juan,31914.0,Ciudad Real,13.0,5.0,59.53500031334211
Alcúdia,143,alcudia,21907.0,"Balears, Illes",7.0,3.0,652.7593919751678
Aldeanueva de Ebro,3,aldeanueva de ebro,2753.0,"Rioja, La",26.0,8.0,108.97203051216854
Aldeaquemada,2,aldeaquemada,446.0,Jaén,23.0,4.0,448.43049327354254
Alegia,2,alegia,1813.0,Gipuzkoa,20.0,5.0,110.31439602868174
Alesanco,1,alesanco,486.0,"Rioja, La",26.0,9.0,205.761316872428
Alfaro,2,alfaro,9923.0,"Rioja, La",26.0,11.0,20.15519500151164
Alfoz,1,alfoz,1493.0,Lugo,27.0,2.0,66.97923643670462
Alfoz de Lloredo,6,alfoz de lloredo,2500.0,Cantabria,39.0,1.0,240.0
Algaida,15,algaida,6357.0,"Balears, Illes",7.0,4.0,235.9603586597452
Algora,1,algora,89.0,Guadalajara,19.0,17.0,1123.5955056179776
Aliaga,1,aliaga,344.0,Teruel,44.0,17.0,290.69767441860466
Alija del Infantado,1,alija del infantado,554.0,León,24.0,3.0,180.50541516245488
Alkiza,2,alkiza,352.0,Gipuzkoa,20.0,6.0,568.1818181818181
Allande,1,allande,1506.0,Asturias,33.0,1.0,66.40106241699867
Allariz,13,allariz,6497.0,Ourense,32.0,1.0,200.09235031553024
Aller,20,aller,10011.0,Asturias,33.0,2.0,199.7802417340925
Allín/Allin,1,allin/allin,881.0,Navarra,31.0,11.0,113.50737797956867
Almadrones,2,almadrones,67.0,Guadalajara,19.0,20.0,2985.074626865672
Almadén,6,almaden,4855.0,Ciudad Real,13.0,11.0,123.58393408856848
Almagro,10,almagro,9190.0,Ciudad Real,13.0,13.0,108.8139281828074
Almanza,1,almanza,570.0,León,24.0,4.0,175.43859649122803
Almarza,1,almarza,601.0,Soria,42.0,19.0,166.38935108153078
Almassora,19,almassora,29159.0,Castellón/Castelló,12.0,9.0,65.15998491031928
Almazán,10,almazan,5544.0,Soria,42.0,20.0,180.3751803751804
Almedíjar,1,almedijar,288.0,Castellón/Castelló,12.0,10.0,347.22222222222223
