name,lon,lat,tipo_geometria,pais,fecha_descarga
Las Mariquillas,-1.747781,39.1363212,Point,España,2026-03-04 13:06:55.752367
El Quijote,-1.9063101,38.9766836,Point,España,2026-03-04 13:06:55.752367
The Tapa Negra,-1.8546775,38.9955059,Point,España,2026-03-04 13:06:55.752367
El Callejón de los Gatos,-1.8530715,38.9916483,Point,España,2026-03-04 13:06:55.752367
Nuestro Bar,-1.8488364,38.9899783,Point,España,2026-03-04 13:06:55.752367
Santa Marta,-1.856448,38.985348,Point,España,2026-03-04 13:06:55.752367
Bendix,-1.8618215,39.0043239,Point,España,2026-03-04 13:06:55.752367
Tapalia,-1.8589375,38.9820825,Point,España,2026-03-04 13:06:55.752367
El Águila,-1.8670164,39.0034359,Point,España,2026-03-04 13:06:55.752367
El Rincón de la Cuba,-1.8571988,39.0022046,Point,España,2026-03-04 13:06:55.752367
Azabache,-1.8577032,38.9980022,Point,España,2026-03-04 13:06:55.752367
Fogón Andino,-1.8653508,38.9982028,Point,España,2026-03-04 13:06:55.752367
El J,-1.8625894,39.0031585,Point,España,2026-03-04 13:06:55.752367
Telepizza,-1.86671,38.9979222,Point,España,2026-03-04 13:06:55.752367
La Bodeguilla del Maquinilla,-1.8689199,38.9959647,Point,España,2026-03-04 13:06:55.752367
La Sartén,-1.8698802,38.9954088,Point,España,2026-03-04 13:06:55.752367
Martina,-1.854891,38.9882308,Point,España,2026-03-04 13:06:55.752367
El Rincón de Mía,-1.8602189,38.9950545,Point,España,2026-03-04 13:06:55.752367
Oleana,-1.859192,38.9935498,Point,España,2026-03-04 13:06:55.752367
La Alacena,-1.8451345,38.985548,Point,España,2026-03-04 13:06:55.752367
Labrador,-1.9201077,38.9197891,Point,España,2026-03-04 13:06:55.752367
Batiburrillo,-1.918412,38.9179813,Point,España,2026-03-04 13:06:55.752367
La Biela,-1.9923606,38.9022695,Point,España,2026-03-04 13:06:55.752367
El Canal,-1.9207461,38.8673316,Point,España,2026-03-04 13:06:55.752367
El Chaparral,-1.9206978,38.8667176,Point,España,2026-03-04 13:06:55.752367
Meson El Colegial,-1.9222428,38.8677827,Point,España,2026-03-04 13:06:55.752367
Comidas Manchegas,-1.7429856,39.0687065,Point,España,2026-03-04 13:06:55.752367
Pizzería Italia,-1.8572183,38.9852783,Point,España,2026-03-04 13:06:55.752367
Don Gil,-1.8593447,38.9944468,Point,España,2026-03-04 13:06:55.752367
La Jaula,-1.8819158,38.9886749,Point,España,2026-03-04 13:06:55.752367
El Júcar,-1.8835091,38.9880807,Point,España,2026-03-04 13:06:55.752367
Pollos Olga,-1.8615023,38.9941035,Point,España,2026-03-04 13:06:55.752367
Oído Cocina,-1.8528777,38.9860464,Point,España,2026-03-04 13:06:55.752367
La Taberna del Topo,-1.8623323,38.9876534,Point,España,2026-03-04 13:06:55.752367
La Falla,-1.8645401,38.9937553,Point,España,2026-03-04 13:06:55.752367
Arazana,-1.8575098,38.9973485,Point,España,2026-03-04 13:06:55.752367
San Antón,-1.8550204,38.9960331,Point,España,2026-03-04 13:06:55.752367
La Cueva de La Abuela,-1.8635832,38.9812256,Point,España,2026-03-04 13:06:55.752367
,-1.8635249,38.9661312,Point,España,2026-03-04 13:06:55.752367
La Casita,-1.8336479,38.9790624,Point,España,2026-03-04 13:06:55.752367
L'Arruzz,-1.8526426,38.9929682,Point,España,2026-03-04 13:06:55.752367
Nuestras Raíces,-1.8663692,38.9826464,Point,España,2026-03-04 13:06:55.752367
El Bisturí,-1.8700301,38.990433,Point,España,2026-03-04 13:06:55.752367
Enrique y Francisco,-1.8689921,38.9901495,Point,España,2026-03-04 13:06:55.752367
Merendero Los Llanos,-1.8769126,38.9591241,Point,España,2026-03-04 13:06:55.752367
